NORMAS,FECHA
"Presidente Castillo en México: Invoca priorizar lucha contra el terrorismo, la pandemia y el crimen organizado a miembros de la CELAC",18 de setiembre de 2021 - 12:52 p. m.
Gobierno trabaja articuladamente para lograr que la infancia salga de la desnutrición,17 de setiembre de 2021 -  6:29 p. m.
"Presidente Pedro Castillo se reunirá con sus homólogos de México, Bolivia y Cuba en el marco de su primer viaje internacional",17 de setiembre de 2021 -  4:33 p. m.
Decreto de Urgencia N° 026-2020,15 de marzo de 2020
Decreto Legislativo N° 1465,19 de abril de 2020
Decreto Legislativo N° 1466,21 de abril de 2020
Resolución Subsecretaría General N° 049-2021-DP/SSG,17 de setiembre de 2021
Resolución de Secretaría General N° 067-2021-DP/SG,17 de setiembre de 2021
Resolución Subsecretaría General N° 048-2021-DP/SSG,15 de setiembre de 2021
Proyectos de Reforma Política,10 de abril de 2019 -  5:52 p. m.
"Actas de sesiones del Consejo de Ministros, periodo del Presidente José Pedro Castillo Terrones, del 4 al 25 de agosto de 2021", 4 de agosto de 2021 - 11:36 a. m.
Convenio de Consultas en Línea Vía Internet con el Despacho Presidencial,12 de mayo de 2021 - 10:18 a. m.
